66.249.70.3 - - [09/Nov/2018:19:15:20 +0100] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
216.244.66.248 - - [09/Nov/2018:19:16:05 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [09/Nov/2018:19:16:06 +0100] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.6 - - [09/Nov/2018:19:32:47 +0100] "GET /robots.txt HTTP/1.1" 301 316
157.55.39.6 - - [09/Nov/2018:19:32:48 +0100] "GET /robots.txt HTTP/1.1" 200 80
207.46.13.8 - - [09/Nov/2018:19:32:55 +0100] "GET /galerie HTTP/1.1" 301 313
157.55.39.187 - - [09/Nov/2018:19:34:57 +0100] "GET /vermietung HTTP/1.1" 301 324
216.244.66.248 - - [09/Nov/2018:19:59:49 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [09/Nov/2018:19:59:50 +0100] "GET /robots.txt HTTP/1.1" 200 120
