46.140.72.18 - - [13/Jun/2018:11:19:54 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.42201 HTTP/1.1" 200 278
46.140.72.18 - - [13/Jun/2018:11:19:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
46.140.72.18 - - [13/Jun/2018:11:19:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
46.140.72.18 - - [13/Jun/2018:11:19:54 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.42201 HTTP/1.1" 200 23051
46.140.72.18 - - [13/Jun/2018:11:19:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
46.140.72.18 - - [13/Jun/2018:11:19:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
46.140.72.18 - - [13/Jun/2018:11:19:54 +0200] "GET /js/functions_stripped.js?v=6.9.42201 HTTP/1.1" 200 3186
46.140.72.18 - - [13/Jun/2018:11:19:54 +0200] "GET /templates/resellers/7/favicon.ico?v=1525028099 HTTP/1.1" 200 4286
46.140.72.18 - - [13/Jun/2018:11:19:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
46.140.72.18 - - [13/Jun/2018:11:19:54 +0200] "GET /js/footer/get_deps.min.js?v=6.9.42201 HTTP/1.1" 200 157
46.140.72.18 - - [13/Jun/2018:11:19:59 +0200] "GET /templates/resellers/7/favicon.ico?v=1525028103 HTTP/1.1" 200 4286
46.140.72.18 - - [13/Jun/2018:11:19:59 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 200 5929
46.140.72.18 - - [13/Jun/2018:11:20:25 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5098
46.140.72.18 - - [13/Jun/2018:11:20:25 +0200] "GET /templates/resellers/7/favicon.ico?v=1525025390 HTTP/1.1" 200 4286
46.140.72.18 - - [13/Jun/2018:11:20:46 +0200] "GET /templates/resellers/7/favicon.ico?v=1525028088 HTTP/1.1" 200 4286
46.140.72.18 - - [13/Jun/2018:11:20:46 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 5166
