54.36.148.242 - - [10/Jun/2018:04:06:46 +0200] "GET /var/m_0/0d/0dd/12455/143495-G1_SKT2014_17.JPG HTTP/1.1" 200 175692
216.244.66.248 - - [10/Jun/2018:04:14:07 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [10/Jun/2018:04:36:35 +0200] "GET /robots.txt HTTP/1.1" 200 120
148.251.9.145 - - [10/Jun/2018:04:37:05 +0200] "GET /robots.txt HTTP/1.1" 200 120
148.251.9.145 - - [10/Jun/2018:04:37:16 +0200] "GET / HTTP/1.1" 200 34604
54.36.148.195 - - [10/Jun/2018:04:39:44 +0200] "GET /var/m_0/0d/0dd/12455/143494-G1_SKT2014_16.JPG HTTP/1.1" 200 110813
194.187.170.117 - - [10/Jun/2018:04:49:54 +0200] "GET /robots.txt HTTP/1.1" 200 80
194.187.170.117 - - [10/Jun/2018:04:49:54 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5114
216.244.66.248 - - [10/Jun/2018:04:59:00 +0200] "GET /robots.txt HTTP/1.1" 200 120
