40.77.167.44 - - [22/Dec/2018:05:03:10 +0100] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
216.244.66.248 - - [22/Dec/2018:05:09:24 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [22/Dec/2018:05:09:24 +0100] "GET /robots.txt HTTP/1.1" 301 316
216.244.66.248 - - [22/Dec/2018:05:09:25 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [22/Dec/2018:05:09:25 +0100] "GET /robots.txt HTTP/1.1" 200 120
95.216.20.167 - - [22/Dec/2018:05:17:24 +0100] "GET /robots.txt HTTP/1.1" 301 316
95.216.20.167 - - [22/Dec/2018:05:17:26 +0100] "GET /robots.txt HTTP/1.1" 200 120
95.216.20.167 - - [22/Dec/2018:05:17:32 +0100] "GET / HTTP/1.1" 301 306
95.216.20.167 - - [22/Dec/2018:05:17:34 +0100] "GET / HTTP/1.1" 200 179296
