37.17.172.132 - - [22/Oct/2018:03:01:46 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 30490
216.244.66.248 - - [22/Oct/2018:03:12:23 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [22/Oct/2018:03:12:25 +0200] "GET /robots.txt HTTP/1.1" 200 120
47.92.194.164 - - [22/Oct/2018:03:30:35 +0200] "HEAD /wp-content/plugins/easyrotator-for-wordpress/indox.php HTTP/1.1" 301 -
47.92.194.164 - - [22/Oct/2018:03:30:36 +0200] "HEAD /wp-content/plugins/easyrotator-for-wordpress/indox.php HTTP/1.1" 200 -
216.244.66.248 - - [22/Oct/2018:03:52:17 +0200] "GET /gallery/login.php?referer=login.php%3Freferer%3Dlogin.php%253Freferer%253Ddisplayimage.php%25253Fpos%25253D-71 HTTP/1.1" 200 215
216.244.66.248 - - [22/Oct/2018:03:52:26 +0200] "GET /gallery/login.php?referer=login.php%3Freferer%3Dlogin.php%253Freferer%253Ddisplayimage.php%25253Fpos%25253D-82 HTTP/1.1" 200 215
216.244.66.248 - - [22/Oct/2018:03:55:42 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [22/Oct/2018:03:55:44 +0200] "GET /robots.txt HTTP/1.1" 200 120
