93.201.6.174 - - [22/Aug/2018:15:13:28 +0200] "GET /var/m_0/0d/0dd/12455/7441141-37_Pedalo.jpg HTTP/1.1" 200 195132
216.244.66.248 - - [22/Aug/2018:15:17:04 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [22/Aug/2018:15:17:06 +0200] "GET /robots.txt HTTP/1.1" 200 120
138.201.133.216 - - [22/Aug/2018:15:34:10 +0200] "GET /kurse.shtml HTTP/1.1" 301 325
138.201.133.216 - - [22/Aug/2018:15:34:10 +0200] "GET /robots.txt HTTP/1.1" 301 324
77.75.79.95 - - [22/Aug/2018:15:52:00 +0200] "GET /robots.txt HTTP/1.1" 200 80
77.75.79.95 - - [22/Aug/2018:15:52:01 +0200] "GET /events HTTP/1.1" 200 31188
77.75.79.95 - - [22/Aug/2018:15:52:02 +0200] "GET /robots.txt HTTP/1.1" 301 324
77.75.79.95 - - [22/Aug/2018:15:52:03 +0200] "GET / HTTP/1.1" 301 314
