180.76.15.12 - - [14/Feb/2019:04:16:29 +0100] "GET / HTTP/1.1" 301 314
95.216.96.170 - - [14/Feb/2019:04:17:13 +0100] "GET /robots.txt HTTP/1.1" 200 80
95.216.96.170 - - [14/Feb/2019:04:17:14 +0100] "GET / HTTP/1.1" 200 32166
95.216.96.170 - - [14/Feb/2019:04:17:16 +0100] "GET /templates/resellers/7/favicon.ico?v=1538080411 HTTP/1.1" 200 4286
95.216.96.170 - - [14/Feb/2019:04:17:18 +0100] "GET /gfx/imageslider/fonts/icons.eot?3r0kqq HTTP/1.1" 200 2064
95.216.96.170 - - [14/Feb/2019:04:17:19 +0100] "GET /gfx/imageslider/fonts/icons.eot HTTP/1.1" 200 2064
95.216.96.170 - - [14/Feb/2019:04:17:21 +0100] "GET /gfx/imageslider/fonts/icons.woff?3r0kqq HTTP/1.1" 200 1612
95.216.96.170 - - [14/Feb/2019:04:17:22 +0100] "GET /gfx/imageslider/fonts/icons.ttf?3r0kqq HTTP/1.1" 200 1908
95.216.96.170 - - [14/Feb/2019:04:17:23 +0100] "GET /gfx/imageslider/fonts/icons.svg?3r0kqq HTTP/1.1" 200 3018
95.216.96.170 - - [14/Feb/2019:04:17:24 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
95.216.96.170 - - [14/Feb/2019:04:17:26 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
178.171.22.110 - - [14/Feb/2019:04:17:53 +0100] "GET / HTTP/1.1" 301 306
178.171.22.110 - - [14/Feb/2019:04:17:54 +0100] "GET / HTTP/1.1" 200 32165
207.46.13.52 - - [14/Feb/2019:04:45:18 +0100] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 301 362
207.46.13.52 - - [14/Feb/2019:04:45:19 +0100] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
95.216.96.170 - - [14/Feb/2019:04:47:46 +0100] "GET /davosersee.shtml HTTP/1.1" 301 330
95.216.96.170 - - [14/Feb/2019:04:47:48 +0100] "GET /kurse.shtml HTTP/1.1" 301 325
95.216.96.170 - - [14/Feb/2019:04:47:49 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 301 336
95.216.96.170 - - [14/Feb/2019:04:47:50 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 301 343
95.216.96.170 - - [14/Feb/2019:04:47:51 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 301 338
95.216.96.170 - - [14/Feb/2019:04:47:53 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 301 335
95.216.96.170 - - [14/Feb/2019:04:47:54 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 301 333
202.46.51.101 - - [14/Feb/2019:04:49:49 +0100] "GET / HTTP/1.1" 301 314
202.46.55.179 - - [14/Feb/2019:04:49:50 +0100] "GET / HTTP/1.1" 200 179296
180.76.15.6 - - [14/Feb/2019:04:49:52 +0100] "GET /robots.txt HTTP/1.1" 301 324
180.76.15.11 - - [14/Feb/2019:04:49:53 +0100] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.64 - - [14/Feb/2019:04:52:50 +0100] "GET /galerie-gruppesmartkat HTTP/1.1" 301 328
54.36.148.177 - - [14/Feb/2019:05:01:13 +0100] "GET /davosersee.shtml HTTP/1.1" 301 330
207.46.13.54 - - [14/Feb/2019:05:57:02 +0100] "GET /kurse HTTP/1.1" 301 319
194.230.159.186 - - [14/Feb/2019:06:28:18 +0100] "GET / HTTP/1.1" 301 314
194.230.159.186 - - [14/Feb/2019:06:28:18 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3511
