134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1483633820 HTTP/1.1" 200 1797
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /js/footer/build_social_entries.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 278
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /js/footer/get_deps.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 157
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1483633820 HTTP/1.1" 200 662
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1483633820 HTTP/1.1" 200 2085
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 3186
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 1283
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1483633820 HTTP/1.1" 200 847
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1483633820 HTTP/1.1" 200 1089
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:20 +0200] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
134.188.63.188.dynamic.wline.res.cust.swisscom.ch - - [07/Oct/2017:09:55:21 +0200] "GET /templates/resellers/7/favicon.ico?v=1506147134 HTTP/1.1" 200 4286
