54.36.148.226 - - [13/Jan/2019:16:03:35 +0100] "GET /var/m_0/0d/0dd/12455/6564674-G3_SKT2015_07.jpg HTTP/1.1" 200 117236
157.55.39.27 - - [13/Jan/2019:16:30:12 +0100] "GET /robots.txt HTTP/1.1" 301 324
157.55.39.27 - - [13/Jan/2019:16:30:13 +0100] "GET /robots.txt HTTP/1.1" 200 80
207.46.13.129 - - [13/Jan/2019:16:34:59 +0100] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 301 354
207.46.13.129 - - [13/Jan/2019:16:35:02 +0100] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
134.249.52.146 - - [13/Jan/2019:16:36:56 +0100] "GET / HTTP/1.1" 301 314
134.249.52.146 - - [13/Jan/2019:16:36:57 +0100] "GET / HTTP/1.1" 301 314
134.249.52.146 - - [13/Jan/2019:16:36:57 +0100] "GET / HTTP/1.1" 301 314
216.244.66.248 - - [13/Jan/2019:16:45:10 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [13/Jan/2019:16:45:12 +0100] "GET /robots.txt HTTP/1.1" 200 120
