92.104.28.39 - - [20/Jun/2018:10:21:02 +0200] "GET / HTTP/1.1" 200 6741
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 200 138460
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/8987711-71_Gigathlon.jpg HTTP/1.1" 200 205714
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/8987714-66_Vorbereitung.jpg HTTP/1.1" 200 138994
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
92.104.28.39 - - [20/Jun/2018:10:21:03 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
216.244.66.248 - - [20/Jun/2018:10:34:40 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [20/Jun/2018:10:34:41 +0200] "GET /robots.txt HTTP/1.1" 200 120
54.36.148.179 - - [20/Jun/2018:10:43:04 +0200] "GET /smartkat-crashkurs HTTP/1.1" 301 332
83.77.17.108 - - [20/Jun/2018:10:51:29 +0200] "GET / HTTP/1.1" 301 314
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /css/widgets/concat_widget.min.css?v=6.9.0.3.42946 HTTP/1.1" 200 23108
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 847
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /js/functions_stripped.js?v=6.9.0.3.42946 HTTP/1.1" 200 3186
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /var/m_0/0d/0dd/12455/8987711-71_Gigathlon.jpg HTTP/1.1" 200 205714
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1797
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /js/footer/get_deps.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 157
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /var/m_0/0d/0dd/12455/8987714-66_Vorbereitung.jpg HTTP/1.1" 200 138994
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET / HTTP/1.1" 200 6741
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /js/footer/build_social_entries.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 278
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 200 138460
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /js/jquery.lazyload.min.js?v=6.9.0.3.42946 HTTP/1.1" 200 1254
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2085
83.77.17.108 - - [20/Jun/2018:10:51:30 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
83.77.17.108 - - [20/Jun/2018:10:51:31 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
83.77.17.108 - - [20/Jun/2018:10:51:31 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
83.77.17.108 - - [20/Jun/2018:10:51:31 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
83.77.17.108 - - [20/Jun/2018:10:51:31 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
83.77.17.108 - - [20/Jun/2018:10:51:31 +0200] "GET /templates/resellers/7/favicon.ico?v=1529179179 HTTP/1.1" 200 4286
83.77.17.108 - - [20/Jun/2018:10:51:31 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
83.77.17.108 - - [20/Jun/2018:10:54:49 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
83.77.17.108 - - [20/Jun/2018:10:56:36 +0200] "GET /events.shtml HTTP/1.1" 200 5293
83.77.17.108 - - [20/Jun/2018:10:56:36 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
83.77.17.108 - - [20/Jun/2018:10:56:36 +0200] "GET /var/m_0/0d/0dd/12455/7230969-37_Pedalo2.jpg HTTP/1.1" 200 107785
83.77.17.108 - - [20/Jun/2018:10:56:36 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
83.77.17.108 - - [20/Jun/2018:10:56:37 +0200] "GET /templates/resellers/7/favicon.ico?v=1529228993 HTTP/1.1" 200 4286
216.244.66.248 - - [20/Jun/2018:10:57:51 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [20/Jun/2018:10:57:53 +0200] "GET /robots.txt HTTP/1.1" 200 120
66.249.64.28 - - [20/Jun/2018:10:58:28 +0200] "GET /vermietung HTTP/1.1" 301 316
66.249.64.29 - - [20/Jun/2018:10:58:44 +0200] "GET /vermietung HTTP/1.1" 200 5099
83.77.17.108 - - [20/Jun/2018:10:59:45 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
66.249.64.28 - - [20/Jun/2018:10:59:59 +0200] "GET /kinder-segelkurs HTTP/1.1" 301 322
