207.46.13.187 - - [14/Nov/2018:06:33:02 +0100] "GET /pruefungskurs HTTP/1.1" 301 319
216.244.66.248 - - [14/Nov/2018:06:45:04 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [14/Nov/2018:06:45:06 +0100] "GET /robots.txt HTTP/1.1" 200 120
134.249.54.255 - - [14/Nov/2018:06:45:19 +0100] "GET / HTTP/1.1" 301 306
134.249.54.255 - - [14/Nov/2018:06:45:20 +0100] "GET / HTTP/1.1" 301 306
46.229.168.144 - - [14/Nov/2018:06:46:08 +0100] "GET /robots.txt HTTP/1.1" 301 324
195.248.251.18 - - [14/Nov/2018:06:52:04 +0100] "GET /ads.txt HTTP/1.1" 301 313
195.248.251.18 - - [14/Nov/2018:06:52:04 +0100] "GET /ads.txt HTTP/1.1" 200 164962
195.248.251.18 - - [14/Nov/2018:06:52:06 +0100] "GET /ads.txt HTTP/1.1" 301 321
195.248.251.18 - - [14/Nov/2018:06:52:06 +0100] "GET /ads.txt HTTP/1.1" 200 165106
