212.83.188.26 - - [31/Jan/2018:17:04:16 +0100] "GET / HTTP/1.1" 200 6440
54.36.24.64 - - [31/Jan/2018:17:25:26 +0100] "GET / HTTP/1.1" 200 35804
54.36.24.64 - - [31/Jan/2018:17:25:27 +0100] "GET /events.shtml HTTP/1.1" 200 22514
54.36.24.64 - - [31/Jan/2018:17:25:27 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
54.36.24.64 - - [31/Jan/2018:17:25:28 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
54.36.24.64 - - [31/Jan/2018:17:25:28 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
54.36.24.64 - - [31/Jan/2018:17:25:28 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
54.36.24.64 - - [31/Jan/2018:17:25:28 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
54.36.24.64 - - [31/Jan/2018:17:25:29 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
54.36.24.64 - - [31/Jan/2018:17:25:30 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
54.36.24.64 - - [31/Jan/2018:17:25:30 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
54.36.24.64 - - [31/Jan/2018:17:25:30 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
54.36.24.64 - - [31/Jan/2018:17:25:30 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
54.36.24.64 - - [31/Jan/2018:17:25:30 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
54.36.24.64 - - [31/Jan/2018:17:25:30 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
54.36.24.64 - - [31/Jan/2018:17:25:31 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
54.36.24.64 - - [31/Jan/2018:17:25:31 +0100] "GET /flotte.shtml HTTP/1.1" 200 29241
54.36.24.64 - - [31/Jan/2018:17:25:31 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
54.36.24.64 - - [31/Jan/2018:17:25:31 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
54.36.24.64 - - [31/Jan/2018:17:25:31 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
54.36.24.64 - - [31/Jan/2018:17:25:31 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
54.36.24.64 - - [31/Jan/2018:17:25:31 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
54.36.24.64 - - [31/Jan/2018:17:25:32 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
54.36.24.64 - - [31/Jan/2018:17:25:32 +0100] "GET /davosersee HTTP/1.1" 200 19505
54.36.24.64 - - [31/Jan/2018:17:25:32 +0100] "GET /event-matchracing HTTP/1.1" 200 21251
54.36.24.64 - - [31/Jan/2018:17:25:32 +0100] "GET /event-pedalo HTTP/1.1" 200 20248
54.36.24.64 - - [31/Jan/2018:17:25:32 +0100] "GET /events HTTP/1.1" 200 22514
54.36.24.64 - - [31/Jan/2018:17:25:32 +0100] "GET /js/).html(a);null==$( HTTP/1.1" 200 219
54.36.24.64 - - [31/Jan/2018:17:25:32 +0100] "GET /event-gruppesmartkat HTTP/1.1" 200 21256
54.36.24.64 - - [31/Jan/2018:17:25:32 +0100] "GET /flotte HTTP/1.1" 200 29385
54.36.24.64 - - [31/Jan/2018:17:25:32 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
66.249.66.84 - - [31/Jan/2018:17:31:15 +0100] "GET /templates/resellers/7/favicon.ico?v=1494921079 HTTP/1.1" 200 4286
66.249.66.146 - - [31/Jan/2018:17:31:17 +0100] "GET /var/m_0/0d/0dd/12455/7445964-SK_Kentern.jpg HTTP/1.1" 304 -
192.151.145.82 - - [31/Jan/2018:17:46:11 +0100] "GET /robots.txt HTTP/1.1" 200 120
192.151.145.82 - - [31/Jan/2018:17:46:34 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
66.249.66.146 - - [31/Jan/2018:17:57:20 +0100] "GET /event-matchracing HTTP/1.1" 200 5634
66.249.66.142 - - [31/Jan/2018:17:57:29 +0100] "GET /event-pedalo HTTP/1.1" 200 5342
66.249.66.82 - - [31/Jan/2018:17:58:17 +0100] "GET /js/efu/main.min.js?v=6.5.1.37665 HTTP/1.1" 200 1746
66.249.66.84 - - [31/Jan/2018:17:58:18 +0100] "GET /js/fancybox2/jquery.fancybox.min.css?v=6.5.1.37665 HTTP/1.1" 200 1020
