54.36.148.132 - - [29/Nov/2018:15:03:46 +0100] "GET /kursanmeldung HTTP/1.1" 301 327
77.75.79.95 - - [29/Nov/2018:15:04:42 +0100] "GET /robots.txt HTTP/1.1" 200 80
77.75.79.95 - - [29/Nov/2018:15:04:54 +0100] "GET /var/m_0/0d/0dd/12455/7441200-35_Finn4.jpg HTTP/1.1" 200 211101
77.75.79.95 - - [29/Nov/2018:15:05:02 +0100] "GET /robots.txt HTTP/1.1" 301 324
77.75.79.95 - - [29/Nov/2018:15:05:03 +0100] "GET /smartkat-crashkurs HTTP/1.1" 301 332
106.38.241.116 - - [29/Nov/2018:15:28:18 +0100] "GET /robots.txt HTTP/1.1" 301 324
106.38.241.116 - - [29/Nov/2018:15:29:17 +0100] "GET /robots.txt HTTP/1.1" 301 324
106.38.241.116 - - [29/Nov/2018:15:30:12 +0100] "GET /robots.txt HTTP/1.1" 200 80
77.75.79.17 - - [29/Nov/2018:15:53:52 +0100] "GET /robots.txt HTTP/1.1" 200 80
77.75.79.17 - - [29/Nov/2018:15:53:57 +0100] "GET /var/m_0/0d/0dd/12455/125501-34_Laser.jpg HTTP/1.1" 200 52750
