130.60.168.123 - - [30/Sep/2019:11:43:24 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
130.60.168.123 - - [30/Sep/2019:11:43:24 +0200] "GET /var/m_0/0d/0dd/12455/9777011-Corsaire_Titel19_1-c20ad.jpg HTTP/1.1" 200 136419
130.60.168.123 - - [30/Sep/2019:11:43:24 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
130.60.168.123 - - [30/Sep/2019:11:43:24 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
130.60.168.123 - - [30/Sep/2019:11:43:25 +0200] "GET /templates/resellers/7/favicon.ico?v=1567411060 HTTP/1.1" 200 4286
130.60.168.123 - - [30/Sep/2019:11:43:28 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
130.60.168.123 - - [30/Sep/2019:11:43:28 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
130.60.168.123 - - [30/Sep/2019:11:43:28 +0200] "GET /davosersee.shtml HTTP/1.1" 200 5680
130.60.168.123 - - [30/Sep/2019:11:43:29 +0200] "GET /templates/resellers/7/favicon.ico?v=1567428274 HTTP/1.1" 200 4286
130.60.168.123 - - [30/Sep/2019:11:43:36 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
130.60.168.123 - - [30/Sep/2019:11:43:36 +0200] "GET /kurse.shtml HTTP/1.1" 200 6561
130.60.168.123 - - [30/Sep/2019:11:43:36 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
130.60.168.123 - - [30/Sep/2019:11:43:36 +0200] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
130.60.168.123 - - [30/Sep/2019:11:43:37 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
130.60.168.123 - - [30/Sep/2019:11:43:37 +0200] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
130.60.168.123 - - [30/Sep/2019:11:43:37 +0200] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
130.60.168.123 - - [30/Sep/2019:11:43:37 +0200] "GET /templates/resellers/7/favicon.ico?v=1567414632 HTTP/1.1" 200 4286
130.60.168.123 - - [30/Sep/2019:11:43:37 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
130.60.168.123 - - [30/Sep/2019:11:43:37 +0200] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
130.60.168.123 - - [30/Sep/2019:11:43:43 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5360
130.60.168.123 - - [30/Sep/2019:11:43:44 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 4980
130.60.168.123 - - [30/Sep/2019:11:43:44 +0200] "GET /templates/resellers/7/favicon.ico?v=1567414641 HTTP/1.1" 200 4286
130.60.168.123 - - [30/Sep/2019:11:43:46 +0200] "GET /templates/resellers/7/favicon.ico?v=1567475522 HTTP/1.1" 200 4286
216.244.66.248 - - [30/Sep/2019:11:46:07 +0200] "GET /standort.shtml HTTP/1.1" 200 21963
