207.46.13.71 - - [04/Oct/2018:02:10:19 +0200] "GET /galerie.shtml HTTP/1.1" 200 30734
35.163.43.197 - - [04/Oct/2018:02:10:23 +0200] "GET /robots.txt HTTP/1.1" 301 324
35.163.43.197 - - [04/Oct/2018:02:10:24 +0200] "GET / HTTP/1.1" 301 314
81.221.65.75 - - [04/Oct/2018:02:18:54 +0200] "GET / HTTP/1.1" 200 32165
81.221.65.75 - - [04/Oct/2018:02:18:54 +0200] "GET /W3SVC/?cid=f2949bab-240a-46ca-a455-6f504367ba7d&securityScanNoAttack HTTP/1.1" 200 163257
40.77.167.2 - - [04/Oct/2018:02:28:00 +0200] "GET /kurse HTTP/1.1" 301 319
216.244.66.248 - - [04/Oct/2018:02:29:23 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [04/Oct/2018:02:29:25 +0200] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.2 - - [04/Oct/2018:02:47:26 +0200] "GET /kurse HTTP/1.1" 301 311
