157.55.39.156 - - [23/Dec/2018:10:04:09 +0100] "GET /flotte HTTP/1.1" 200 32165
46.229.168.130 - - [23/Dec/2018:10:07:59 +0100] "GET /robots.txt HTTP/1.1" 301 316
46.229.168.142 - - [23/Dec/2018:10:07:59 +0100] "GET /robots.txt HTTP/1.1" 200 80
46.229.168.153 - - [23/Dec/2018:10:07:59 +0100] "GET /flotte.shtml HTTP/1.1" 301 318
46.229.168.131 - - [23/Dec/2018:10:08:01 +0100] "GET /flotte.shtml HTTP/1.1" 200 32162
46.229.168.131 - - [23/Dec/2018:10:08:01 +0100] "GET /flotte.shtml HTTP/1.1" 200 32162
216.244.66.248 - - [23/Dec/2018:10:45:14 +0100] "GET /robots.txt HTTP/1.1" 301 316
216.244.66.248 - - [23/Dec/2018:10:45:14 +0100] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [23/Dec/2018:10:45:15 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [23/Dec/2018:10:45:15 +0100] "GET /robots.txt HTTP/1.1" 200 120
