207.46.13.107 - - [14/Mar/2018:13:02:05 +0100] "GET /index.php HTTP/1.1" 302 -
54.196.47.56 - - [14/Mar/2018:13:04:46 +0100] "GET /robots.txt HTTP/1.1" 200 80
88.99.240.172 - - [14/Mar/2018:13:05:03 +0100] "GET /robots.txt HTTP/1.1" 200 120
88.99.240.172 - - [14/Mar/2018:13:05:03 +0100] "GET /kurse.shtml HTTP/1.1" 200 30914
203.150.230.48 - - [14/Mar/2018:13:08:18 +0100] "GET //images/stories/wawalo.gif HTTP/1.1" 200 18235
216.244.66.229 - - [14/Mar/2018:13:23:48 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.229 - - [14/Mar/2018:13:23:48 +0100] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.229 - - [14/Mar/2018:13:33:02 +0100] "GET /var/m_0/0d/0dd/12455/6564704-G3_SKT2015_33.jpg HTTP/1.1" 200 100941
216.244.66.229 - - [14/Mar/2018:13:51:05 +0100] "GET /robots.txt HTTP/1.1" 200 120
