95.216.96.170 - - [09/Mar/2019:05:42:28 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1189
95.216.96.170 - - [09/Mar/2019:05:42:28 +0100] "GET /gfx/imageslider/fonts/icons.svg?3r0kqq HTTP/1.1" 200 1178
207.46.13.88 - - [09/Mar/2019:05:49:31 +0100] "GET / HTTP/1.1" 200 41203
40.77.167.175 - - [09/Mar/2019:05:58:21 +0100] "GET /davosersee HTTP/1.1" 301 617
157.55.39.140 - - [09/Mar/2019:06:01:29 +0100] "GET / HTTP/1.1" 301 617
207.46.13.88 - - [09/Mar/2019:06:02:26 +0100] "GET / HTTP/1.1" 200 41202
216.244.66.248 - - [09/Mar/2019:06:09:21 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:06:09:23 +0100] "GET /robots.txt HTTP/1.1" 200 120
95.216.96.170 - - [09/Mar/2019:06:13:00 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 301 617
95.216.96.170 - - [09/Mar/2019:06:13:01 +0100] "GET /davosersee.shtml HTTP/1.1" 301 617
95.216.96.170 - - [09/Mar/2019:06:13:02 +0100] "GET /kurse.shtml HTTP/1.1" 301 617
95.216.96.170 - - [09/Mar/2019:06:13:05 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 301 617
95.216.96.170 - - [09/Mar/2019:06:13:05 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 301 617
95.216.96.170 - - [09/Mar/2019:06:13:08 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 301 617
95.216.96.170 - - [09/Mar/2019:06:13:08 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 301 617
17.58.99.196 - - [09/Mar/2019:06:35:22 +0100] "GET /kurse.shtml HTTP/1.1" 301 617
17.58.99.196 - - [09/Mar/2019:06:35:23 +0100] "GET /robots.txt HTTP/1.1" 200 120
17.58.99.196 - - [09/Mar/2019:06:35:23 +0100] "GET /kurse.shtml HTTP/1.1" 200 41045
207.46.13.168 - - [09/Mar/2019:06:41:22 +0100] "GET /galerie HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:06:53:48 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:06:53:49 +0100] "GET /robots.txt HTTP/1.1" 200 120
54.184.58.182 - - [09/Mar/2019:06:55:36 +0100] "GET / HTTP/1.1" 200 41203
157.55.39.140 - - [09/Mar/2019:06:56:58 +0100] "GET /var/m_0/0d/0dd/12455/6564726-G3_SKT2015_53.jpg HTTP/1.1" 200 119632
17.58.99.196 - - [09/Mar/2019:07:10:20 +0100] "GET /event-matchracing.shtml HTTP/1.1" 301 617
17.58.99.196 - - [09/Mar/2019:07:10:21 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 40043
157.55.39.140 - - [09/Mar/2019:07:31:37 +0100] "GET /vermietung.shtml HTTP/1.1" 200 39664
216.244.66.248 - - [09/Mar/2019:07:37:51 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:07:37:53 +0100] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.140 - - [09/Mar/2019:07:46:33 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 301 617
46.229.168.138 - - [09/Mar/2019:07:46:35 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 45788
46.229.168.137 - - [09/Mar/2019:07:46:36 +0100] "GET /robots.txt HTTP/1.1" 301 617
46.229.168.137 - - [09/Mar/2019:07:46:37 +0100] "GET /robots.txt HTTP/1.1" 200 120
95.108.181.90 - - [09/Mar/2019:07:50:46 +0100] "GET /robots.txt HTTP/1.1" 301 617
178.154.200.24 - - [09/Mar/2019:07:50:46 +0100] "GET /robots.txt HTTP/1.1" 200 120
178.154.171.82 - - [09/Mar/2019:07:50:48 +0100] "GET / HTTP/1.1" 301 617
178.154.200.40 - - [09/Mar/2019:07:50:50 +0100] "GET /robots.txt HTTP/1.1" 200 120
37.9.113.169 - - [09/Mar/2019:07:50:52 +0100] "GET / HTTP/1.1" 200 41203
40.77.167.175 - - [09/Mar/2019:07:59:20 +0100] "GET /galerie-gruppesmartkat HTTP/1.1" 301 617
207.46.13.88 - - [09/Mar/2019:08:05:01 +0100] "GET /var/m_0/0d/0dd/12455/7230969-37_Pedalo2.jpg HTTP/1.1" 200 107785
46.229.168.138 - - [09/Mar/2019:08:05:10 +0100] "GET /event-pedalo HTTP/1.1" 301 617
46.229.168.143 - - [09/Mar/2019:08:05:12 +0100] "GET /event-pedalo HTTP/1.1" 200 39725
46.4.64.197 - - [09/Mar/2019:08:16:48 +0100] "GET / HTTP/1.1" 301 617
46.4.64.197 - - [09/Mar/2019:08:16:52 +0100] "GET / HTTP/1.1" 200 41203
46.4.64.197 - - [09/Mar/2019:08:17:03 +0100] "GET /robots.txt HTTP/1.1" 200 120
46.4.64.197 - - [09/Mar/2019:08:17:03 +0100] "GET /davosersee.shtml HTTP/1.1" 200 39940
46.4.64.197 - - [09/Mar/2019:08:17:08 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 39648
46.4.64.197 - - [09/Mar/2019:08:17:10 +0100] "GET /kurse.shtml HTTP/1.1" 200 41045
46.4.64.197 - - [09/Mar/2019:08:17:17 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 39619
46.4.64.197 - - [09/Mar/2019:08:17:17 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 39242
46.4.64.197 - - [09/Mar/2019:08:17:33 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 39936
46.4.64.197 - - [09/Mar/2019:08:17:50 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 40507
46.4.64.197 - - [09/Mar/2019:08:17:59 +0100] "GET /events.shtml HTTP/1.1" 200 39870
46.4.64.197 - - [09/Mar/2019:08:18:01 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 40020
46.4.64.197 - - [09/Mar/2019:08:18:09 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 40043
46.4.64.197 - - [09/Mar/2019:08:18:12 +0100] "GET /flotte.shtml HTTP/1.1" 200 40962
46.4.64.197 - - [09/Mar/2019:08:18:12 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 39691
46.4.64.197 - - [09/Mar/2019:08:18:19 +0100] "GET /vermietung.shtml HTTP/1.1" 200 39664
46.4.64.197 - - [09/Mar/2019:08:18:29 +0100] "GET /galerie.shtml HTTP/1.1" 200 39396
46.4.64.197 - - [09/Mar/2019:08:18:49 +0100] "GET /smartkat-trophy-2018-copy.shtml HTTP/1.1" 200 39477
46.4.64.197 - - [09/Mar/2019:08:18:51 +0100] "GET /smartkat-trophy-2015-copy.shtml HTTP/1.1" 200 39151
46.4.64.197 - - [09/Mar/2019:08:18:52 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 40395
46.4.64.197 - - [09/Mar/2019:08:19:00 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 39198
46.4.64.197 - - [09/Mar/2019:08:19:07 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 39139
46.4.64.197 - - [09/Mar/2019:08:19:11 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 39442
46.4.64.197 - - [09/Mar/2019:08:19:29 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 39286
180.76.15.153 - - [09/Mar/2019:08:19:33 +0100] "GET /kurse.shtml HTTP/1.1" 301 617
180.76.15.30 - - [09/Mar/2019:08:19:34 +0100] "GET /kurse.shtml HTTP/1.1" 200 175494
180.76.15.8 - - [09/Mar/2019:08:19:35 +0100] "GET /robots.txt HTTP/1.1" 301 617
46.4.64.197 - - [09/Mar/2019:08:19:35 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 39222
180.76.15.26 - - [09/Mar/2019:08:19:36 +0100] "GET /robots.txt HTTP/1.1" 200 120
46.4.64.197 - - [09/Mar/2019:08:19:40 +0100] "GET /standort.shtml HTTP/1.1" 200 39762
46.4.64.197 - - [09/Mar/2019:08:19:45 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 45788
46.4.64.197 - - [09/Mar/2019:08:19:56 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 38920
46.4.64.197 - - [09/Mar/2019:08:20:00 +0100] "GET /kurse HTTP/1.1" 200 41067
46.4.64.197 - - [09/Mar/2019:08:20:01 +0100] "GET /davosersee HTTP/1.1" 200 39940
46.4.64.197 - - [09/Mar/2019:08:20:06 +0100] "GET /kinder-segelkurs HTTP/1.1" 200 39648
46.4.64.197 - - [09/Mar/2019:08:20:15 +0100] "GET /segelkurs-jollesmartkat HTTP/1.1" 200 39618
46.4.64.197 - - [09/Mar/2019:08:20:29 +0100] "GET /smartkat-crashkurs HTTP/1.1" 200 39251
46.4.64.197 - - [09/Mar/2019:08:20:34 +0100] "GET /segel-grundkurs HTTP/1.1" 200 39940
46.4.64.197 - - [09/Mar/2019:08:20:42 +0100] "GET /pruefungskurs HTTP/1.1" 200 40511
46.4.64.197 - - [09/Mar/2019:08:20:51 +0100] "GET /events HTTP/1.1" 200 39880
46.4.64.197 - - [09/Mar/2019:08:20:56 +0100] "GET /event-matchracing HTTP/1.1" 200 40044
46.4.64.197 - - [09/Mar/2019:08:20:56 +0100] "GET /event-gruppesmartkat HTTP/1.1" 200 40019
46.4.64.197 - - [09/Mar/2019:08:20:58 +0100] "GET /event-pedalo HTTP/1.1" 200 39725
46.4.64.197 - - [09/Mar/2019:08:21:06 +0100] "GET /flotte HTTP/1.1" 200 40997
46.4.64.197 - - [09/Mar/2019:08:21:16 +0100] "GET /vermietung HTTP/1.1" 200 39657
46.4.64.197 - - [09/Mar/2019:08:21:17 +0100] "GET /galerie HTTP/1.1" 200 39346
46.4.64.197 - - [09/Mar/2019:08:21:48 +0100] "GET /smartkat-trophy-2018-copy HTTP/1.1" 200 39477
46.4.64.197 - - [09/Mar/2019:08:21:49 +0100] "GET /galerie-sktrophy-2015 HTTP/1.1" 200 40378
46.4.64.197 - - [09/Mar/2019:08:21:51 +0100] "GET /smartkat-trophy-2015-copy HTTP/1.1" 200 39224
46.4.64.197 - - [09/Mar/2019:08:21:55 +0100] "GET /galerie-matchracing HTTP/1.1" 200 39198
46.4.64.197 - - [09/Mar/2019:08:22:14 +0100] "GET /galerie-gruppesmartkat HTTP/1.1" 200 39216
216.244.66.248 - - [09/Mar/2019:08:22:16 +0100] "GET /robots.txt HTTP/1.1" 301 617
46.4.64.197 - - [09/Mar/2019:08:22:18 +0100] "GET /galerie-sktrophy-2014 HTTP/1.1" 200 39368
216.244.66.248 - - [09/Mar/2019:08:22:18 +0100] "GET /robots.txt HTTP/1.1" 200 120
46.4.64.197 - - [09/Mar/2019:08:22:33 +0100] "GET /optikurse-2014 HTTP/1.1" 200 39251
46.4.64.197 - - [09/Mar/2019:08:22:44 +0100] "GET /%C3%BCber-uns HTTP/1.1" 200 39219
46.4.64.197 - - [09/Mar/2019:08:22:49 +0100] "GET /standort HTTP/1.1" 200 39780
46.4.64.197 - - [09/Mar/2019:08:22:57 +0100] "GET /kursanmeldung HTTP/1.1" 200 45786
46.4.64.197 - - [09/Mar/2019:08:23:03 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 38985
207.46.13.168 - - [09/Mar/2019:08:33:10 +0100] "GET /css/skeleton.css HTTP/1.1" 200 4100
207.46.13.168 - - [09/Mar/2019:08:33:12 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
207.46.13.88 - - [09/Mar/2019:08:33:37 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2144
207.46.13.88 - - [09/Mar/2019:08:33:40 +0100] "GET /robots.txt HTTP/1.1" 301 617
207.46.13.88 - - [09/Mar/2019:08:33:41 +0100] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.175 - - [09/Mar/2019:08:33:56 +0100] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43359 HTTP/1.1" 200 56192
40.77.167.175 - - [09/Mar/2019:08:33:58 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1189
207.46.13.88 - - [09/Mar/2019:08:34:11 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 710
40.77.167.175 - - [09/Mar/2019:08:48:26 +0100] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 301 617
157.55.39.23 - - [09/Mar/2019:08:48:31 +0100] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.23 - - [09/Mar/2019:08:48:33 +0100] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.175 - - [09/Mar/2019:08:49:17 +0100] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
216.244.66.248 - - [09/Mar/2019:09:06:36 +0100] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [09/Mar/2019:09:06:38 +0100] "GET /robots.txt HTTP/1.1" 200 120
46.242.242.63 - - [09/Mar/2019:09:06:58 +0100] "GET / HTTP/1.1" 301 617
46.242.245.253 - - [09/Mar/2019:09:06:58 +0100] "GET / HTTP/1.1" 301 617
46.242.245.253 - - [09/Mar/2019:09:06:58 +0100] "GET / HTTP/1.1" 200 41203
46.242.242.63 - - [09/Mar/2019:09:06:58 +0100] "GET / HTTP/1.1" 200 41203
