207.46.13.138 - - [06/Apr/2019:08:11:26 +0200] "GET /var/m_0/0d/0dd/12455/6564744-G3_SKT2015_68.jpg HTTP/1.1" 200 79155
66.249.64.45 - - [06/Apr/2019:08:17:33 +0200] "GET /pruefungskurs HTTP/1.1" 301 617
66.249.64.54 - - [06/Apr/2019:08:18:19 +0200] "GET /pruefungskurs HTTP/1.1" 200 5804
216.244.66.248 - - [06/Apr/2019:08:30:08 +0200] "GET /var/m_0/0d/0dd/12455/143483-G1_SKT2014_07.JPG HTTP/1.1" 200 144574
216.244.66.248 - - [06/Apr/2019:08:32:28 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [06/Apr/2019:08:32:28 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [06/Apr/2019:08:32:29 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [06/Apr/2019:08:32:30 +0200] "GET /robots.txt HTTP/1.1" 200 120
13.57.233.99 - - [06/Apr/2019:08:42:05 +0200] "GET / HTTP/1.1" 200 7878
199.58.86.209 - - [06/Apr/2019:08:51:02 +0200] "GET /robots.txt HTTP/1.1" 301 617
199.58.86.209 - - [06/Apr/2019:08:51:03 +0200] "GET /robots.txt HTTP/1.1" 200 120
199.58.86.209 - - [06/Apr/2019:08:51:06 +0200] "GET / HTTP/1.1" 301 617
199.58.86.209 - - [06/Apr/2019:08:51:08 +0200] "GET / HTTP/1.1" 200 37155
