138.246.253.19 - - [17/Feb/2018:02:04:02 +0100] "HEAD / HTTP/1.1" 403 -
207.46.13.140 - - [17/Feb/2018:02:17:46 +0100] "GET /davosersee HTTP/1.1" 200 5477
216.244.66.201 - - [17/Feb/2018:02:29:24 +0100] "GET /robots.txt HTTP/1.1" 200 120
69.30.226.234 - - [17/Feb/2018:02:53:14 +0100] "GET /robots.txt HTTP/1.1" 200 120
69.30.226.234 - - [17/Feb/2018:02:54:13 +0100] "GET /%C3%BCber-uns HTTP/1.1" 200 21862
69.30.226.234 - - [17/Feb/2018:02:54:46 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 4740
69.30.226.234 - - [17/Feb/2018:02:55:16 +0100] "GET /robots.txt HTTP/1.1" 200 120
69.30.226.234 - - [17/Feb/2018:02:55:32 +0100] "GET /%C3%BCber-uns HTTP/1.1" 200 21862
69.30.226.234 - - [17/Feb/2018:02:55:43 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 4740
