water_temp,air_temp,timestamp

17.625, 13.937, 1661950769
17.625, 13.937, 1661951057
17.625, 13.937, 1661951357
17.587, 13.812, 1661951657
17.562, 13.75, 1661951957
17.593, 13.687, 1661952257
17.562, 13.625, 1661952557
17.524, 13.625, 1661952857
17.531, 13.562, 1661953157
17.562, 13.455, 1661953457
17.562, 13.375, 1661953757
17.543, 13.625, 1661954057
17.562, 13.606, 1661954357
17.562, 13.562, 1661954657
17.5, 13.543, 1661954957
17.5, 13.437, 1661955257
17.5, 13.437, 1661955557
17.5, 13.437, 1661955857
17.5, 13.5, 1661956157
17.5, 13.562, 1661956457
17.5, 13.437, 1661956757
17.437, 13.468, 1661957057
17.474, 13.5, 1661957357
17.5, 13.375, 1661957657
17.468, 13.375, 1661957957
17.437, 13.375, 1661958257
17.468, 13.25, 1661958557
17.437, 13.25, 1661958857
17.437, 13.218, 1661959157
17.437, 13.205, 1661959457
17.418, 13.187, 1661959757
17.437, 13.187, 1661960057
17.375, 13.125, 1661960357
17.375, 13.187, 1661960657
17.375, 13.25, 1661960957
17.375, 13.168, 1661961257
17.356, 13.25, 1661961557
17.375, 13.218, 1661961857
17.375, 13.062, 1661962157
17.312, 13.062, 1661962457
17.375, 13.062, 1661962757
17.375, 12.937, 1661963057
17.375, 12.937, 1661963357
17.312, 12.937, 1661963657
17.375, 12.875, 1661963957
17.375, 12.812, 1661964257
17.375, 12.812, 1661964557
17.375, 12.787, 1661964857
17.375, 12.812, 1661965157
17.337, 12.875, 1661965457
17.375, 12.875, 1661965757
17.375, 12.75, 1661966057
17.349, 12.75, 1661966357
17.312, 12.75, 1661966657
17.312, 12.687, 1661966957
17.312, 12.58, 1661967257
17.312, 12.687, 1661967557
17.312, 12.625, 1661967857
17.312, 12.668, 1661968157
17.312, 12.687, 1661968457
17.312, 12.625, 1661968757
17.312, 12.5, 1661969057
17.312, 12.5, 1661969357
17.25, 12.455, 1661969657
17.312, 12.468, 1661969957
17.274, 12.562, 1661970257
17.25, 12.625, 1661970557
17.25, 12.562, 1661970857
17.287, 12.468, 1661971157
17.25, 12.437, 1661971457
17.312, 12.5, 1661971757
17.25, 12.399, 1661972057
17.312, 12.5, 1661972357
17.287, 12.474, 1661972657
17.268, 12.437, 1661972957
17.25, 12.399, 1661973257
17.25, 12.393, 1661973557
17.25, 12.375, 1661973857
17.25, 12.25, 1661974157
